epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,140.09,1.11164,0.86371,1.45374,0.98044,0.98964,0.99401,0.76405,0.88306,0.40365,1.15358,0.0007162,0.0007162,0.0007162
45,184.714,1.10035,0.8401,1.44023,0.97846,0.93883,0.98953,0.6812,1.11386,0.48461,1.25374,0.0007096,0.0007096,0.0007096
46,230.311,1.09725,0.82769,1.41805,0.97357,0.95044,0.98907,0.75478,0.85886,0.43005,1.1238,0.000703,0.000703,0.000703
42,57.5242,1.13817,0.88248,1.42966,0.96738,0.96494,0.98923,0.7286,0.98113,0.4386,1.18728,0.0007294,0.0007294,0.0007294
43,101.451,1.12238,0.8748,1.45543,0.95201,0.94114,0.99001,0.70428,1.06848,0.47483,1.25793,0.0007228,0.0007228,0.0007228
44,145.087,1.11164,0.86371,1.45374,0.98044,0.98964,0.99401,0.76405,0.88306,0.40365,1.15358,0.0007162,0.0007162,0.0007162
45,188.653,1.10035,0.8401,1.44023,0.97846,0.93883,0.98953,0.6812,1.11386,0.48461,1.25374,0.0007096,0.0007096,0.0007096
46,232.34,1.09725,0.82769,1.41805,0.97357,0.95044,0.98907,0.75478,0.85886,0.43005,1.1238,0.000703,0.000703,0.000703
47,277.602,1.10047,0.86116,1.44173,0.96962,0.9797,0.98724,0.74125,0.93108,0.4332,1.15756,0.0006964,0.0006964,0.0006964
48,321.023,1.11769,0.85864,1.43669,0.98822,0.9826,0.99387,0.7649,0.86832,0.39246,1.12753,0.0006898,0.0006898,0.0006898
49,365.095,1.08224,0.83853,1.43706,0.97418,0.97657,0.99205,0.77298,0.88665,0.41423,1.12738,0.0006832,0.0006832,0.0006832
50,410.119,1.08175,0.85051,1.42385,0.96039,0.97449,0.98977,0.73835,0.94807,0.41837,1.17221,0.0006766,0.0006766,0.0006766
